'created_at';'favorite_count';'id';'in_reply_to_status_id';'in_reply_to_user_id';'place_full_name';'retweet_count';'retweeted';'retweeted_id';'text';'truncated';'user_id'
'Sun Feb 01 17:19:45 +0000 2015';0;561936955311927296;'';'';'';0;'false';'';'Crear un hashtag antipodemos (#NoPodeis) y esta lleno de tweets a favor de Podemos xD';'false';195115156
'Sun Feb 01 17:19:45 +0000 2015';0;561936955815251968;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';2746847064
'Sun Feb 01 17:19:45 +0000 2015';0;561936956868001794;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';739002444
'Sun Feb 01 17:19:45 +0000 2015';0;561936957304225792;561934492378869763;509686977;'';0;'false';'';'@_desinhiguido lindo viaje, amigo. Vamos a ver si podemos meter escapadas con acusticos por distintos lugares durante el año.';'false';2858163287
'Sun Feb 01 17:19:45 +0000 2015';0;561936957866270720;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';557170766
'Sun Feb 01 17:19:45 +0000 2015';0;561936958315061248;'';'';'';0;'false';'';'RT @ChavistaGanador: DESDE VENEZUELA!! "PODEMOS" DECIR QUE EN ESPAÑA SE ESCUCHA EL "ALERTA, ALERTA QUE CAMINA..."!! .@subversivos_ http://t…';'false';830858390
'Sun Feb 01 17:19:45 +0000 2015';0;561936958755446785;'';'';'';0;'false';'';'RT @JPSUVcarparoja: "No podemos decir que nos vamos a abrazar con los burgueses para construir el socialismo, eso es negativo" Heiber Mogol…';'false';343839423
'Sun Feb 01 17:19:45 +0000 2015';0;561936958948409344;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';2588573352
'Sun Feb 01 17:19:46 +0000 2015';0;561936960047292416;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';2468162718
'Sun Feb 01 17:19:46 +0000 2015';0;561936960223461376;'';'';'';0;'false';'';'RT @luiscristobalr1: Dice Monedero que, ni el Rey, ni Suárez, ni Fraga trajeron la democracia; claro, la trajeron los de Podemos.Que este m…';'false';994927369
'Sun Feb 01 17:19:46 +0000 2015';0;561936961217495041;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';2919053863
'Sun Feb 01 17:19:46 +0000 2015';0;561936962710679552;'';'';'';0;'false';'';'RT @ValeriaAngelys: Cuando tu ex te dice: 
"Podemos intentarlo otravez"  https://t.co/AeUltSZ31A”';'false';1544627568
'Sun Feb 01 17:19:47 +0000 2015';0;561936963776028672;'';'';'';0;'false';'';'RT @SergiCastanye: Aquí tenéis mi crítica a Podemos, creo que es una ESTAFA en toda regla http://t.co/ZUt1zoEypt #EsAhora31E';'false';2422835327
'Sun Feb 01 17:19:47 +0000 2015';0;561936965428600832;'';'';'';0;'false';'';'El hostil ninguneo de la prensa española a Podemos contrasta con la sorpresa internacional de su éxito (31-E)  http://t.co/wFZleMnkfo';'false';952647996
'Sun Feb 01 17:19:47 +0000 2015';0;561936966178975744;'';'';'';0;'false';'';'RT @manu_tenorio1: Realmente emocionante ver al pueblo en la Puerta del Sol apoyando el cambio. Decidida a que no quieren ya más de lo mism…';'false';2763356618
'Sun Feb 01 17:19:48 +0000 2015';0;561936970805698560;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';2902900929
'Sun Feb 01 17:19:49 +0000 2015';0;561936972143689728;'';'';'';0;'false';'';'RT @LaVanguardia: Podemos incorpora la palabra ‘patria’ a su lenguaje, en busca de un electorado muy transversal http://t.co/RPQajCEBgy Por…';'false';2823138520
'Sun Feb 01 17:19:49 +0000 2015';0;561936972076548096;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';858244567
'Sun Feb 01 17:19:49 +0000 2015';0;561936971854262274;'';'';'';0;'false';'';'Galicia @GaliciaPode Un saludo Gallegos y de toda España, Portugal, Italia....todos unidos somos Podemos. Gracias http://t.co/zoIp1JyRJZ';'false';2915207201
'Sun Feb 01 17:19:49 +0000 2015';0;561936973401972736;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';460508895
'Sun Feb 01 17:19:49 +0000 2015';0;561936974601523200;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';2526639690
'Sun Feb 01 17:19:49 +0000 2015';0;561936975750791169;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';185768497
'Sun Feb 01 17:19:50 +0000 2015';0;561936976895836161;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';966913958
'Sun Feb 01 17:19:50 +0000 2015';0;561936977311047680;'';'';'';0;'false';'';'RT @albertobadiola: @Cmonclus85 @squalus @asunlasaosa @ahorapodemos Como con Franco, es el mismo discurso, a Podemos se le ve el plumero, i…';'false';266533332
'Sun Feb 01 17:19:50 +0000 2015';0;561936979450138625;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';2178533142
'Sun Feb 01 17:19:51 +0000 2015';0;561936980721012736;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';2358412206
'Sun Feb 01 17:19:51 +0000 2015';0;561936981694099456;'';'';'';0;'false';'';'RT @pepmariavila: Avui @gemmagaldon de Podemos a @elsuplement : rebaixant propostes, pura inconcreció, moltes ganes de "tocar cuixa", per c…';'false';2393054522
'Sun Feb 01 17:19:51 +0000 2015';0;561936982667177985;'';'';'';0;'false';'';'RT @SergioNovelli: "No podemos creer en Dios y actuar de cualquier manera. La corrupción está desatada" Cardenal Urosa en @albaysergio';'false';113234750
'Sun Feb 01 17:19:52 +0000 2015';0;561936984403636224;'';'';'';0;'false';'';'RT @eldiarioes: Podemos también se manifestó en Buenos Aires http://t.co/TxoSQ5x0i0 Por @Atapress #EsAhora31E http://t.co/HrpLUkUeWQ';'false';141964108
'Sun Feb 01 17:19:52 +0000 2015';0;561936985129222145;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';2944720337
'Sun Feb 01 17:19:52 +0000 2015';0;561936986462638080;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';954138720
'Sun Feb 01 17:19:54 +0000 2015';0;561936992741888000;'';'';'';0;'false';'';'Cuando menos poseemos ,más podemos dar
Parece imposible, pero no lo eres
Esa es la lógica del amor';'false';2360501193
'Sun Feb 01 17:19:54 +0000 2015';0;561936995069726721;'';'';'';0;'false';'';'RT @josedelafonte: Los que sois de derecha, seguro que si @Pablo_Iglesias_ se peinara como @E__Inda y le pusiera al partido "Osea Podemos" …';'false';457534773
'Sun Feb 01 17:19:54 +0000 2015';0;561936995166191616;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';2790594614
'Sun Feb 01 17:19:54 +0000 2015';0;561936995963117568;'';'';'';0;'false';'';'RT @Esparnua: La Puerta del Sol tiene 7.500m2, a 4 manifestantes por metro salen un total de 30.000, que redondeando según Podemos son 300.…';'false';185752884
'Sun Feb 01 17:19:54 +0000 2015';0;561936996604837889;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';2753075374
'Sun Feb 01 17:19:55 +0000 2015';0;561936998873968640;'';'';'';0;'false';'';'RT @la_patilla: Podemos en España… ¿es una franquicia del chavismo venezolano? http://t.co/HlK7J8gcxU';'false';2726710611
